x,y,z,freq,value
82.474,113.778,0.2,3000000000.0,-25.5544929504
82.339,113.477,0.2,3000000000.0,-25.9187145233
82.08,113.176,0.2,3000000000.0,-25.8821620941
81.761,112.875,0.2,3000000000.0,-25.7471485138
81.505,112.574,0.2,3000000000.0,-25.9851703644
81.344,112.273,0.2,3000000000.0,-25.843706131
81.257,111.972,0.2,3000000000.0,-25.7376861572
81.231,111.671,0.2,3000000000.0,-25.8232097626
81.271,111.37,0.2,3000000000.0,-26.1071510315
81.406,111.069,0.2,3000000000.0,-26.1492996216
81.665,110.768,0.2,3000000000.0,-26.4437828064
81.984,110.467,0.2,3000000000.0,-26.3974819183
82.24,110.166,0.2,3000000000.0,-26.411989212
82.24,110.166,0.2,3000000000.0,-26.6503925323
82.401,109.865,0.2,3000000000.0,-26.5569229126
82.488,109.564,0.2,3000000000.0,-26.8745555878
82.514,109.263,0.2,3000000000.0,-26.8436126709
82.474,108.962,0.2,3000000000.0,-27.0838909149
82.339,108.661,0.2,3000000000.0,-27.7201118469
82.08,108.36,0.2,3000000000.0,-27.7203884125
81.761,108.059,0.2,3000000000.0,-28.1267604828
81.505,107.758,0.2,3000000000.0,-28.3702964783
81.344,107.457,0.2,3000000000.0,-28.7325153351
81.257,107.156,0.2,3000000000.0,-27.9177780151
81.231,106.855,0.2,3000000000.0,-28.4006843567
81.271,106.554,0.2,3000000000.0,-28.5977420807
81.406,106.253,0.2,3000000000.0,-28.8952465057
81.665,105.952,0.2,3000000000.0,-28.6438865662
81.984,105.651,0.2,3000000000.0,-29.0968151093
82.24,105.35,0.2,3000000000.0,-28.9887638092
82.401,105.049,0.2,3000000000.0,-29.6095333099
82.488,104.748,0.2,3000000000.0,-29.5214004517
82.514,104.447,0.2,3000000000.0,-30.267616272
82.474,104.146,0.2,3000000000.0,-30.0786075592
82.339,103.845,0.2,3000000000.0,-30.8613109589
82.08,103.544,0.2,3000000000.0,-31.2149448395
81.761,103.243,0.2,3000000000.0,-31.9481678009
81.505,102.942,0.2,3000000000.0,-32.3244667053
81.344,102.641,0.2,3000000000.0,-32.3757171631
81.257,102.34,0.2,3000000000.0,-32.4889602661
81.231,102.039,0.2,3000000000.0,-32.412525177
81.271,101.738,0.2,3000000000.0,-33.1236190796
81.406,101.437,0.2,3000000000.0,-32.6366348267
81.665,101.136,0.2,3000000000.0,-32.6971740723
81.984,100.835,0.2,3000000000.0,-32.5387573242
82.24,100.534,0.2,3000000000.0,-33.7616539001
82.401,100.233,0.2,3000000000.0,-34.6215667725
82.488,99.932,0.2,3000000000.0,-34.3966369629
82.514,99.631,0.2,3000000000.0,-34.3043708801
82.474,99.33,0.2,3000000000.0,-34.930721283
82.339,99.029,0.2,3000000000.0,-34.5549697876
82.08,98.728,0.2,3000000000.0,-35.4263877869
81.761,98.427,0.2,3000000000.0,-36.951499939
81.505,98.126,0.2,3000000000.0,-37.5672607422
81.344,97.825,0.2,3000000000.0,-37.4811019897
81.257,97.524,0.2,3000000000.0,-36.3957099915
81.231,97.223,0.2,3000000000.0,-37.1256332397
81.231,97.223,0.2,3000000000.0,-38.7035903931
81.271,96.922,0.2,3000000000.0,-36.752117157
81.406,96.621,0.2,3000000000.0,-37.1646575928
81.665,96.32,0.2,3000000000.0,-37.6007270813
81.984,96.019,0.2,3000000000.0,-40.6059684753
82.24,95.718,0.2,3000000000.0,-40.2063407898
82.401,95.417,0.2,3000000000.0,-41.3377761841
82.488,95.116,0.2,3000000000.0,-42.3049888611
82.514,94.815,0.2,3000000000.0,-40.7468490601
82.474,94.514,0.2,3000000000.0,-40.8409767151
82.339,94.213,0.2,3000000000.0,-40.7907485962
82.08,93.912,0.2,3000000000.0,-42.2184677124
81.761,93.611,0.2,3000000000.0,-40.2166137695
81.505,93.31,0.2,3000000000.0,-39.9549751282
81.344,93.009,0.2,3000000000.0,-40.3799133301
81.257,92.708,0.2,3000000000.0,-40.344203949
81.231,92.407,0.2,3000000000.0,-39.5229988098
81.271,92.106,0.2,3000000000.0,-39.4189300537
81.406,91.805,0.2,3000000000.0,-37.9522628784
81.665,91.504,0.2,3000000000.0,-37.5371322632
81.984,91.203,0.2,3000000000.0,-38.2893981934
82.24,90.902,0.2,3000000000.0,-37.1676445007
82.401,90.601,0.2,3000000000.0,-36.3992805481
82.488,90.3,0.2,3000000000.0,-36.7920074463
82.514,89.999,0.2,3000000000.0,-35.3585510254
82.474,89.698,0.2,3000000000.0,-34.3668899536
82.339,89.397,0.2,3000000000.0,-36.8691139221
82.08,89.096,0.2,3000000000.0,-34.7903862
81.761,88.795,0.2,3000000000.0,-36.5774993896
81.505,88.494,0.2,3000000000.0,-34.9947929382
81.344,88.193,0.2,3000000000.0,-34.5995483398
81.257,87.892,0.2,3000000000.0,-35.9108772278
81.231,87.591,0.2,3000000000.0,-35.1758995056
81.271,87.29,0.2,3000000000.0,-35.5437240601
81.406,86.989,0.2,3000000000.0,-34.8880500793
81.665,86.688,0.2,3000000000.0,-35.3880233765
81.984,86.387,0.2,3000000000.0,-35.0743026733
82.24,86.086,0.2,3000000000.0,-35.389591217
82.401,85.785,0.2,3000000000.0,-35.5259971619
82.488,85.484,0.2,3000000000.0,-35.975730896
82.514,85.183,0.2,3000000000.0,-35.741481781
82.474,84.882,0.2,3000000000.0,-35.5691871643
82.339,84.581,0.2,3000000000.0,-35.231678009
82.339,84.581,0.2,3000000000.0,-34.8545913696
82.08,84.28,0.2,3000000000.0,-36.0773773193
81.761,83.979,0.2,3000000000.0,-35.5446777344
81.505,83.678,0.2,3000000000.0,-35.8431358337
81.344,83.377,0.2,3000000000.0,-34.3916740417
81.257,83.076,0.2,3000000000.0,-35.9290237427
81.231,82.775,0.2,3000000000.0,-35.8108024597
81.271,82.474,0.2,3000000000.0,-35.7164878845
81.406,82.173,0.2,3000000000.0,-35.3952598572
81.665,81.872,0.2,3000000000.0,-35.1743507385
81.984,81.571,0.2,3000000000.0,-36.0932731628
82.24,81.27,0.2,3000000000.0,-36.4275665283
82.401,80.969,0.2,3000000000.0,-36.416847229
82.488,80.668,0.2,3000000000.0,-36.3666763306
82.514,80.367,0.2,3000000000.0,-36.0318832397
82.474,80.066,0.2,3000000000.0,-36.2146987915
82.339,79.765,0.2,3000000000.0,-36.3553771973
82.08,79.464,0.2,3000000000.0,-36.0875549316
81.761,79.163,0.2,3000000000.0,-36.9611282349
81.505,78.862,0.2,3000000000.0,-36.8583602905
81.344,78.561,0.2,3000000000.0,-35.9899597168
81.257,78.26,0.2,3000000000.0,-35.871799469
81.231,77.959,0.2,3000000000.0,-36.2259216309
81.271,77.658,0.2,3000000000.0,-37.3965377808
81.406,77.357,0.2,3000000000.0,-36.2299232483
81.665,77.056,0.2,3000000000.0,-36.0163345337
81.984,76.755,0.2,3000000000.0,-35.9785270691
82.24,76.454,0.2,3000000000.0,-37.3612289429
82.401,76.153,0.2,3000000000.0,-36.975402832
82.488,75.852,0.2,3000000000.0,-37.0695304871
82.514,75.551,0.2,3000000000.0,-37.3394851685
82.474,75.25,0.2,3000000000.0,-37.2334899902
82.339,74.949,0.2,3000000000.0,-38.2980690002
82.08,74.648,0.2,3000000000.0,-37.6946754456
81.761,74.347,0.2,3000000000.0,-36.9385032654
81.505,74.046,0.2,3000000000.0,-39.1064910889
81.344,73.745,0.2,3000000000.0,-38.0872306824
81.257,73.444,0.2,3000000000.0,-37.4791488647
81.231,73.143,0.2,3000000000.0,-37.9648857117
