x,y,z,freq,value
51.112,64.758,0.2,2999986690.0,-78.4666824341
51.207,66.264,0.2,2999947030.0,-76.1893005371
50.999,67.77,0.2,3000016210.0,-77.3455581665
50.44,69.276,0.2,2999965270.0,-79.4523468018
49.423,70.782,0.2,2999961790.0,-78.4800949097
47.992,72.288,0.2,2999910850.0,-77.4635620117
46.616,73.794,0.2,2999993050.0,-77.3576507568
45.714,75.3,0.2,2999969030.0,-77.3726654053
45.273,76.806,0.2,2999954560.0,-78.0363540649
45.178,78.312,0.2,2999960930.0,-77.4098052979
45.386,79.818,0.2,3000037050.0,-77.6055145264
45.386,79.818,0.2,3000015340.0,-76.1792297363
45.945,81.324,0.2,3000040230.0,-77.6380157471
46.962,82.83,0.2,3000017370.0,-80.1014938354
48.393,84.336,0.2,3000065700.0,-78.1814498901
49.769,85.842,0.2,3000049200.0,-78.4981307983
50.671,87.348,0.2,3000010130.0,-77.5138702393
51.112,88.854,0.2,3000011000.0,-77.1860809326
51.207,90.36,0.2,2999952240.0,-75.4967651367
50.999,91.866,0.2,2999919250.0,-77.7025527954
50.44,93.372,0.2,2999909120.0,-79.1599884033
49.423,94.878,0.2,3000061360.0,-77.042755127
47.992,96.384,0.2,2999977130.0,-79.8666381836
46.616,97.89,0.2,3000047180.0,-77.80859375
45.714,99.396,0.2,2999907380.0,-79.8356704712
45.273,100.902,0.2,3000037920.0,-80.8877563477
45.178,102.408,0.2,3000026340.0,-79.8320007324
45.386,103.914,0.2,3000047470.0,-81.1056518555
45.945,105.42,0.2,2999919830.0,-78.3480987549
46.962,106.926,0.2,2999945880.0,-77.4356307983
48.393,108.432,0.2,3000071780.0,-79.9063873291
49.769,109.938,0.2,2999901590.0,-78.1301727295
50.671,111.444,0.2,3000096090.0,-77.9929733276
51.112,112.95,0.2,2999909700.0,-79.0820388794
51.207,114.456,0.2,3000014470.0,-77.4935073853
50.999,115.962,0.2,2999905070.0,-75.6017684937
50.44,117.468,0.2,3000012740.0,-80.1943817139
49.423,118.974,0.2,2999914910.0,-78.5131225586
47.992,120.48,0.2,2999931400.0,-78.9653015137
46.616,121.986,0.2,2999975980.0,-78.7763366699
45.714,123.492,0.2,3000071490.0,-77.7201309204
45.273,124.998,0.2,2999950220.0,-75.1685943604
45.178,126.504,0.2,2999979160.0,-78.452003479
45.386,128.01,0.2,3000063970.0,-78.3276748657
45.945,129.516,0.2,2999956300.0,-78.8346405029
46.962,131.022,0.2,2999994790.0,-77.5959243774
